,userId,movieId,rating,tag,title,genres
0,1,1,4.0,,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
1,5,1,4.0,,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
2,7,1,4.5,,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
3,15,1,2.5,,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
4,17,1,4.5,,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
5,18,1,3.5,,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
6,19,1,4.0,,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
7,21,1,3.5,,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
8,27,1,3.0,,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
9,31,1,5.0,,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
10,32,1,3.0,,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
11,33,1,3.0,,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
12,40,1,5.0,,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
13,43,1,5.0,,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
14,44,1,3.0,,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
15,45,1,4.0,,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
16,46,1,5.0,,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
17,50,1,3.0,,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
18,54,1,3.0,,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
19,57,1,5.0,,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
20,63,1,5.0,,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
21,64,1,4.0,,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
22,66,1,4.0,,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
23,68,1,2.5,,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
24,71,1,5.0,,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
25,73,1,4.5,,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
26,76,1,0.5,,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
27,78,1,4.0,,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
28,82,1,2.5,,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
29,86,1,4.0,,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
30,89,1,3.0,,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
31,90,1,3.0,,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
32,91,1,4.0,,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
33,93,1,3.0,,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
34,96,1,5.0,,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
35,98,1,4.5,,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
36,103,1,4.0,,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
37,107,1,4.0,,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
38,112,1,3.0,,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
39,119,1,3.5,,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
40,121,1,4.0,,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
41,124,1,4.0,,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
42,130,1,3.0,,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
43,132,1,2.0,,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
44,134,1,3.0,,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
45,135,1,4.0,,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
46,137,1,4.0,,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
47,140,1,3.0,,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
48,141,1,4.0,,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
49,144,1,3.5,,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
50,145,1,5.0,,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
51,151,1,5.0,,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
52,153,1,2.0,,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
53,155,1,3.0,,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
54,156,1,4.0,,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
55,159,1,4.5,,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
56,160,1,4.0,,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
57,161,1,4.0,,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
58,166,1,5.0,,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
59,167,1,3.5,,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
60,169,1,4.5,,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
61,171,1,5.0,,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
62,177,1,5.0,,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
63,178,1,4.0,,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
64,179,1,4.0,,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
65,182,1,4.0,,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
66,185,1,4.0,,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
67,186,1,4.0,,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
68,191,1,4.0,,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
69,193,1,2.0,,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
70,200,1,3.5,,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
71,201,1,5.0,,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
72,202,1,4.0,,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
73,206,1,5.0,,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
74,213,1,3.5,,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
75,214,1,3.0,,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
76,216,1,3.0,,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
77,217,1,4.0,,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
