,userId,movieId,rating,tag,title,genres
215,1,3,4.0,,Grumpier Old Men (1995),Comedy|Romance
216,6,3,5.0,,Grumpier Old Men (1995),Comedy|Romance
217,19,3,3.0,,Grumpier Old Men (1995),Comedy|Romance
218,32,3,3.0,,Grumpier Old Men (1995),Comedy|Romance
219,42,3,4.0,,Grumpier Old Men (1995),Comedy|Romance
220,43,3,5.0,,Grumpier Old Men (1995),Comedy|Romance
221,44,3,3.0,,Grumpier Old Men (1995),Comedy|Romance
222,51,3,4.0,,Grumpier Old Men (1995),Comedy|Romance
223,58,3,3.0,,Grumpier Old Men (1995),Comedy|Romance
224,64,3,3.5,,Grumpier Old Men (1995),Comedy|Romance
225,68,3,2.0,,Grumpier Old Men (1995),Comedy|Romance
226,91,3,3.0,,Grumpier Old Men (1995),Comedy|Romance
227,100,3,3.5,,Grumpier Old Men (1995),Comedy|Romance
228,102,3,5.0,,Grumpier Old Men (1995),Comedy|Romance
229,116,3,3.5,,Grumpier Old Men (1995),Comedy|Romance
230,117,3,3.0,,Grumpier Old Men (1995),Comedy|Romance
231,150,3,3.0,,Grumpier Old Men (1995),Comedy|Romance
232,151,3,3.0,,Grumpier Old Men (1995),Comedy|Romance
233,169,3,5.0,,Grumpier Old Men (1995),Comedy|Romance
234,179,3,4.0,,Grumpier Old Men (1995),Comedy|Romance
235,217,3,1.0,,Grumpier Old Men (1995),Comedy|Romance
236,226,3,3.5,,Grumpier Old Men (1995),Comedy|Romance
237,240,3,4.0,,Grumpier Old Men (1995),Comedy|Romance
238,269,3,4.0,,Grumpier Old Men (1995),Comedy|Romance
239,270,3,3.0,,Grumpier Old Men (1995),Comedy|Romance
240,288,3,4.0,,Grumpier Old Men (1995),Comedy|Romance
241,289,3,2.5,moldy|old,Grumpier Old Men (1995),Comedy|Romance
242,294,3,1.0,,Grumpier Old Men (1995),Comedy|Romance
243,302,3,3.0,,Grumpier Old Men (1995),Comedy|Romance
244,307,3,3.5,,Grumpier Old Men (1995),Comedy|Romance
245,308,3,0.5,,Grumpier Old Men (1995),Comedy|Romance
246,321,3,3.0,,Grumpier Old Men (1995),Comedy|Romance
247,330,3,3.0,,Grumpier Old Men (1995),Comedy|Romance
248,337,3,4.0,,Grumpier Old Men (1995),Comedy|Romance
249,368,3,3.0,,Grumpier Old Men (1995),Comedy|Romance
250,410,3,4.0,,Grumpier Old Men (1995),Comedy|Romance
251,414,3,4.0,,Grumpier Old Men (1995),Comedy|Romance
252,448,3,3.0,,Grumpier Old Men (1995),Comedy|Romance
253,456,3,3.0,,Grumpier Old Men (1995),Comedy|Romance
254,470,3,3.0,,Grumpier Old Men (1995),Comedy|Romance
255,477,3,3.0,,Grumpier Old Men (1995),Comedy|Romance
256,480,3,2.5,,Grumpier Old Men (1995),Comedy|Romance
